train_rmse,val_rmse,test_rmse
0.6917888,0.69732165,0.45293897
0.6917888,0.69732153,0.4529391
0.6917888,0.6973216,0.45293894
0.6917888,0.69732165,0.45293918
0.6917888,0.6973216,0.45293888
0.6917888,0.6973216,0.45293885
0.6917888,0.6973216,0.45293918
0.6917888,0.69732165,0.45293897
0.6917888,0.69732165,0.45293874
0.6917888,0.69732165,0.45293874
0.6917888,0.6973216,0.45293885

0.6917888,0.6973216,0.45293885
0.6917888,0.69732165,0.45293903
0.69178873,0.6973216,0.45293906
